ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
200
ITEM: BOX BOUNDS pp pp pp
9.7027260163754605e+01 1.0297273983624540e+02
9.7027260163754605e+01 1.0297273983624540e+02
9.7027260163754605e+01 1.0297273983624540e+02
ITEM: ATOMS id mol type x y z
1 1 1 97.2885 98.0751 101.009
2 1 1 97.414 99.2221 101.394
3 2 1 101.199 101.101 97.1024
4 2 1 100.075 101.197 97.3996
5 3 1 100.402 99.261 97.2296
6 3 1 99.5675 98.3636 97.2813
7 4 1 98.9864 99.879 101.963
8 4 1 98.2853 99.9615 102.948
9 5 1 101.035 98.9511 102.256
10 5 1 101.25 100.127 102.435
11 6 1 101.17 98.537 98.5691
12 6 1 101.65 97.8634 99.4509
13 7 1 98.6528 102.944 102.362
14 7 1 98.6649 98.1359 102.566
15 8 1 102.349 100.333 100.135
16 8 1 102.179 100.957 99.1124
17 9 1 97.4136 100.472 102.718
18 9 1 97.2707 101.628 102.837
19 10 1 97.4725 100.3 100.877
20 10 1 102.38 101.003 100.948
21 11 1 102.972 97.6208 97.8171
22 11 1 97.8223 97.412 102.899
23 12 1 101.878 97.8774 100.577
24 12 1 102.765 97.1441 100.881
25 13 1 98.1637 101.042 97.3304
26 13 1 98.6384 101.87 102.528
27 14 1 98.5087 102.603 101.278
28 14 1 98.4795 101.563 100.733
29 15 1 102.017 101.994 99.6334
30 15 1 102.845 101.217 99.8733
31 16 1 100.386 98.2406 102.613
32 16 1 100.031 97.7419 101.573
33 17 1 102.09 97.8021 101.597
34 17 1 97.0433 98.3562 102.033
35 18 1 101.026 99.4746 98.0535
36 18 1 101.745 100.247 97.4536
37 19 1 97.0402 100.647 101.796
38 19 1 97.4077 101.325 100.812
39 20 1 102.205 98.6404 98.9543
40 20 1 101.932 98.4518 97.8206
41 21 1 98.976 98.2489 98.2882
42 21 1 98.4162 97.3084 98.6841
43 22 1 97.7134 98.4608 102.81
44 22 1 98.6118 98.8292 97.4649
45 23 1 102.859 97.7495 99.9726
46 23 1 97.3081 97.7643 98.8362
47 24 1 101.51 99.6342 101.499
48 24 1 102.115 98.8707 102.125
49 25 1 100.341 101.507 100.134
50 25 1 99.9718 101.21 101.3
51 26 1 97.2941 102.329 100.038
52 26 1 102.125 102.888 100.085
53 27 1 97.1642 102.618 97.3864
54 27 1 97.6934 102.366 102.262
55 28 1 97.8636 97.2274 100.624
56 28 1 98.451 98.129 100.846
57 29 1 102.578 100.397 98.2256
58 29 1 102.927 101.51 97.9836
59 30 1 99.8563 102.149 98.0499
60 30 1 99.5442 97.2684 98.3504
61 31 1 102.273 98.6464 99.9889
62 31 1 102.462 99.6521 99.3612
63 32 1 98.7968 99.7845 97.9639
64 32 1 99.3478 99.4743 102.927
65 33 1 100.345 98.7552 101.391
66 33 1 101.02 97.8713 101.882
67 34 1 100.15 97.4216 97.4413
68 34 1 101.148 97.6217 98.1423
69 35 1 97.5085 102.321 101.148
70 35 1 102.411 101.961 100.664
71 36 1 99.0759 101.606 97.5547
72 36 1 98.1944 102.374 97.3412
73 37 1 99.5315 97.5961 102.527
74 37 1 99.3796 102.513 97.1095
75 38 1 99.6384 100.658 102.113
76 38 1 99.0139 101.542 101.617
77 39 1 100.31 97.0475 99.0855
78 39 1 100.122 101.834 99.0899
79 40 1 100.062 98.7014 100.009
80 40 1 100.662 97.9488 100.681
81 41 1 99.737 101.675 102.494
82 41 1 100.497 102.074 101.609
83 42 1 99.1224 101.679 98.7135
84 42 1 98.0754 101.611 98.2257
85 43 1 100.579 98.0295 99.329
86 43 1 101.15 98.6823 100.05
87 44 1 99.8152 100.896 99.4673
88 44 1 100.037 99.7885 99.7905
89 45 1 100.947 98.4224 97.5047
90 45 1 101.733 99.2424 97.0964
91 46 1 100.48 100.087 98.8445
92 46 1 101.378 99.3091 99.1953
93 47 1 99.2228 97.2008 100.731
94 47 1 98.4677 102.467 100.132
95 48 1 98.1576 99.0618 98.4705
96 48 1 97.0285 98.6818 98.1816
97 49 1 98.9897 97.7213 101.618
98 49 1 98.0385 98.4056 101.729
99 50 1 97.6483 99.3105 97.5493
100 50 1 97.2425 99.3866 102.405
101 51 1 98.3465 100.109 98.8944
102 51 1 97.6798 100.304 97.9256
103 52 1 97.9131 101.453 99.8036
104 52 1 97.4939 100.302 99.6593
105 53 1 98.7547 97.6399 99.955
106 53 1 99.9361 97.5859 100.032
107 54 1 100.303 102.884 100.974
108 54 1 99.4487 102.057 100.818
109 55 1 101.659 97.0441 102.173
110 55 1 101.691 98.0973 102.722
111 56 1 97.2434 98.6962 99.2574
112 56 1 98.3371 98.2621 99.1917
113 57 1 102.376 100.944 102.853
114 57 1 102.711 99.8089 97.334
115 58 1 102.278 102.342 102.75
116 58 1 102.705 97.5188 102.656
117 59 1 101.09 97.1331 97.1558
118 59 1 101.623 102.06 97.519
119 60 1 99.4726 98.5986 102.071
120 60 1 98.38 99.1431 102.333
121 61 1 101.773 100.994 101.9
122 61 1 101.004 101.307 101.11
123 62 1 101.4 97.1832 101.133
124 62 1 101.07 102.214 100.534
125 63 1 97.9337 99.9886 101.833
126 63 1 98.5673 100.81 102.344
127 64 1 101.547 100.223 98.6655
128 64 1 100.96 101.127 99.1264
129 65 1 98.1885 99.501 100.745
130 65 1 98.268 100.581 100.27
131 66 1 100.615 100.305 101.459
132 66 1 100.637 101.174 102.186
133 67 1 101.155 100.201 99.7301
134 67 1 101.536 100.422 100.834
135 68 1 97.8061 97.2394 99.5886
136 68 1 98.2338 102.203 99.0977
137 69 1 98.5836 100.604 101.251
138 69 1 99.5931 99.9693 100.998
139 70 1 100.825 100.534 97.9539
140 70 1 100.31 100.308 102.871
141 71 1 100.845 101.543 98.0621
142 71 1 100.428 102.194 97.1865
143 72 1 101.712 101.842 98.6384
144 72 1 102.884 101.844 98.977
145 73 1 99.123 99.0874 99.0921
146 73 1 99.4868 98.0011 99.1866
147 74 1 99.0359 99.9761 99.8985
148 74 1 98.8772 98.7802 100.107
149 75 1 102.496 99.9433 101.111
150 75 1 101.746 99.4923 100.343
151 76 1 98.7297 100.939 99.382
152 76 1 99.4092 100.09 98.8692
153 77 1 98.8287 100.783 98.2017
154 77 1 99.8329 100.175 97.8806
155 78 1 102.214 97.7149 98.5139
156 78 1 101.578 102.848 99.0162
157 79 1 101.005 102.171 99.4893
158 79 1 100.014 102.48 100.031
159 80 1 101.221 102.057 102.483
160 80 1 101.737 102.1 101.468
161 81 2 100.158 99.565 102.077
162 82 2 102.688 102.903 99.1552
163 83 2 100.983 97.1907 100.011
164 84 2 99.2462 100.544 97.1177
165 85 2 100.262 99.063 98.8953
166 86 2 97.9687 98.125 97.9192
167 87 2 102.397 98.8698 101.069
168 88 2 99.5585 102.631 101.853
169 89 2 99.5608 98.3455 100.872
170 90 2 99.1835 101.809 99.8242
