ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
200
ITEM: BOX BOUNDS pp pp pp
9.7022654579047781e+01 1.0297734542095222e+02
9.7022654579047781e+01 1.0297734542095222e+02
9.7022654579047781e+01 1.0297734542095222e+02
ITEM: ATOMS id mol type x y z
1 1 1 102.511 101.031 101.937
2 1 1 102.734 101.21 100.802
3 2 1 100.728 101.926 98.5468
4 2 1 101.641 102.626 98.8933
5 3 1 98.8967 100.624 97.681
6 3 1 98.4108 99.5415 97.7511
7 4 1 99.2342 99.7718 97.0926
8 4 1 98.1395 100.137 102.791
9 5 1 100.696 98.7411 101.936
10 5 1 99.5783 98.8923 101.485
11 6 1 98.2766 98.4442 97.0352
12 6 1 98.5698 99.3313 102.283
13 7 1 97.3266 101.881 101.834
14 7 1 98.0359 102.815 101.847
15 8 1 102.783 101.331 99.3892
16 8 1 97.2892 102.377 99.6305
17 9 1 101.562 101.658 102.092
18 9 1 102.37 102.047 101.379
19 10 1 97.5643 101.426 100.179
20 10 1 97.1199 102.447 100.728
21 11 1 102.467 101.76 97.5807
22 11 1 97.242 102.592 97.8213
23 12 1 97.311 98.9021 102.21
24 12 1 102.488 98.0223 102.543
25 13 1 97.559 102.317 102.788
26 13 1 98.3608 101.879 101.983
27 14 1 99.423 101.503 99.9198
28 14 1 99.2037 102.17 99.0149
29 15 1 97.6022 101.896 98.7527
30 15 1 97.6506 101.599 97.6292
31 16 1 100.552 101.635 102.592
32 16 1 100.067 101.965 101.587
33 17 1 102.509 99.3947 101.647
34 17 1 102.914 98.2681 101.481
35 18 1 101.374 99.3498 100.355
36 18 1 101.705 98.5821 99.5381
37 19 1 102.469 101.99 102.516
38 19 1 101.712 101.168 97.0452
39 20 1 102.666 98.2736 99.7895
40 20 1 101.862 97.7205 99.0054
41 21 1 99.1856 98.5857 98.7447
42 21 1 98.6893 97.8865 97.9558
43 22 1 97.1456 97.8098 97.5367
44 22 1 97.5676 97.7494 102.386
45 23 1 98.3244 102.381 98.0811
46 23 1 98.059 97.2894 97.2876
47 24 1 101.951 100.209 102.618
48 24 1 101.016 99.4198 102.687
49 25 1 101.416 101.69 99.4011
50 25 1 102.001 100.853 100.059
51 26 1 97.32 97.5334 99.4347
52 26 1 102.881 97.5409 100.563
53 27 1 101.049 102.885 98.0415
54 27 1 101.451 102.246 97.089
55 28 1 97.7811 97.643 101.256
56 28 1 97.5133 98.4 100.47
57 29 1 102.903 101.057 98.225
58 29 1 101.923 100.931 98.9367
59 30 1 99.3347 102.567 97.744
60 30 1 98.6372 102.519 102.78
61 31 1 97.761 100.923 99.1621
62 31 1 102.727 100.298 98.9039
63 32 1 98.9454 100.783 102.585
64 32 1 99.9564 100.913 101.964
65 33 1 100.08 100.431 102.892
66 33 1 99.8993 99.3599 102.384
67 34 1 99.3258 97.608 97.203
68 34 1 99.9254 97.7891 98.284
69 35 1 98.1044 102.141 100.908
70 35 1 97.8901 97.144 100.215
71 36 1 98.6281 101.602 97.3111
72 36 1 99.3165 101.744 102.257
73 37 1 98.6409 97.1298 100.93
74 37 1 99.1118 102.035 101.17
75 38 1 98.8774 100.249 100.686
76 38 1 98.8914 101.014 101.57
77 39 1 100.327 102.227 97.528
78 39 1 100.035 102.699 98.5994
79 40 1 101.855 98.5778 101.913
80 40 1 101.555 98.4904 97.1342
81 41 1 100.256 102.971 101.527
82 41 1 99.7708 102.642 102.683
83 42 1 99.7363 102.926 99.6435
84 42 1 99.0563 97.2895 98.7337
85 43 1 101.791 97.7755 100.232
86 43 1 101.268 98.4057 101.015
87 44 1 101.407 99.4072 101.423
88 44 1 102.248 99.9248 100.727
89 45 1 100.177 99.502 97.4634
90 45 1 101.111 100.253 97.4799
91 46 1 101.766 99.9149 98.7054
92 46 1 101.644 98.7732 98.4832
93 47 1 98.2053 98.4643 101.771
94 47 1 99.2115 97.9159 101.465
95 48 1 97.6207 98.7621 99.4533
96 48 1 102.959 98.1961 98.6525
97 49 1 98.4556 101.341 98.4011
98 49 1 98.3928 101.705 99.5083
99 50 1 98.3131 99.1671 98.7326
100 50 1 98.3064 98.021 99.1026
101 51 1 98.3858 100.225 98.6226
102 51 1 97.709 100.523 97.7114
103 52 1 102.702 99.9266 97.4551
104 52 1 102.671 98.8294 97.7914
105 53 1 98.5466 98.2407 100.661
106 53 1 98.6556 99.3198 101.158
107 54 1 101.094 101.988 100.431
108 54 1 100.551 101.015 100.238
109 55 1 100.324 97.3641 97.3599
110 55 1 101.503 97.393 97.0621
111 56 1 97.8179 98.52 98.0914
112 56 1 97.5546 99.2873 97.1813
113 57 1 100.085 98.8396 98.2963
114 57 1 100.927 98.0533 97.9571
115 58 1 102.635 97.0227 102.899
