ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
200
ITEM: BOX BOUNDS pp pp pp
9.7032927782732060e+01 1.0296707221726794e+02
9.7032927782732060e+01 1.0296707221726794e+02
9.7032927782732060e+01 1.0296707221726794e+02
ITEM: ATOMS id mol type x y z
1 1 1 97.1738 99.2412 100.046
2 1 1 102.565 99.5382 99.1363
3 2 1 100.134 97.3144 101.292
4 2 1 101.225 97.2817 100.745
5 3 1 100.292 98.8038 100.046
6 3 1 99.5185 98.9865 99.146
7 4 1 98.2373 99.2867 102.909
8 4 1 99.0082 99.9248 102.29
9 5 1 99.6474 98.4585 102.824
10 5 1 99.9943 99.3842 102.136
11 6 1 102.39 102.125 102.41
12 6 1 97.4191 102.055 101.71
13 7 1 98.6213 97.3287 102.418
14 7 1 97.8644 97.0384 101.537
15 8 1 102.233 101.079 98.2925
16 8 1 102.483 102.18 97.9088
17 9 1 101.191 102.108 102.228
18 9 1 100.055 101.632 102.518
19 10 1 97.0864 100.321 98.4292
20 10 1 97.1988 101.059 99.337
21 11 1 102.657 97.4078 99.4019
22 11 1 97.6923 97.9507 98.9247
23 12 1 97.6572 98.7147 100.868
24 12 1 102.746 98.6462 101.74
25 13 1 97.9191 101.35 102.273
26 13 1 97.2183 100.927 101.408
27 14 1 99.4535 101.746 101.489
28 14 1 100.096 101.639 100.477
29 15 1 97.0689 102.534 98.7786
30 15 1 97.2594 101.498 98.2326
31 16 1 101.415 98.0392 102.476
32 16 1 100.904 102.956 102.818
33 17 1 97.0495 99.7877 102.277
34 17 1 97.2953 98.769 102.845
35 18 1 102.129 97.8938 100.384
36 18 1 97.212 98.2199 99.9189
37 19 1 102.033 101.461 97.2184
38 19 1 97.2242 101.691 97.1113
39 20 1 101.08 98.0045 99.9606
40 20 1 100.784 97.2448 99.0833
41 21 1 99.0585 98.7879 97.7599
42 21 1 98.3953 98.2509 102.807
43 22 1 98.68 97.6409 99.2004
44 22 1 98.4975 98.6948 98.6804
45 23 1 98.0406 97.0372 98.4522
46 23 1 97.6176 97.6368 97.4263
47 24 1 102.48 98.8409 100.763
48 24 1 101.556 98.6721 101.501
49 25 1 101.43 101.149 99.0011
50 25 1 101.494 100.531 100.026
51 26 1 98.729 102.495 99.1095
52 26 1 97.7724 101.854 99.0783
53 27 1 100.184 102.404 98.6551
54 27 1 100.021 102.677 97.4985
55 28 1 97.1445 97.7853 101.126
56 28 1 98.2563 98.0618 101.626
57 29 1 97.501 102.507 97.6993
58 29 1 102.846 97.482 98.2305
59 30 1 98.5615 102.87 97.4567
60 30 1 97.7307 102.637 102.573
61 31 1 102.257 100.546 99.2267
62 31 1 102.125 99.7296 100.125
63 32 1 98.0014 100.269 102.378
64 32 1 97.7995 99.0849 101.955
65 33 1 100.622 99.1043 97.1414
66 33 1 100.647 97.9551 97.3085
67 34 1 100.044 98.8228 98.2119
68 34 1 101.142 98.2374 98.2646
69 35 1 97.5433 102.578 100.624
70 35 1 97.3847 101.414 100.345
71 36 1 99.723 100.751 102.078
72 36 1 98.6091 100.885 101.595
73 37 1 98.296 101.897 97.1544
74 37 1 99.2832 102.426 102.672
75 38 1 98.3694 99.8014 101.455
76 38 1 97.981 100.562 100.652
77 39 1 98.9354 100.887 98.0435
78 39 1 99.8755 100.66 98.681
79 40 1 100.623 98.1997 101.105
80 40 1 99.5083 98.0305 101.777
81 41 1 100.802 102.274 101.011
82 41 1 101.864 102.468 101.487
83 42 1 99.4323 102.098 99.7652
84 42 1 98.2061 102.067 99.9867
85 43 1 100.615 99.2218 101.269
86 43 1 99.9952 99.8663 100.474
87 44 1 102.236 99.619 101.548
88 44 1 101.346 99.948 100.878
89 45 1 99.5327 99.4937 97.1684
90 45 1 100.43 100.192 102.69
91 46 1 101.719 97.8704 99.036
92 46 1 101.949 98.9431 98.4712
93 47 1 99.2939 102.876 101.727
94 47 1 99.7101 102.644 100.578
95 48 1 97.5962 99.0363 99.1038
96 48 1 102.692 98.3302 98.8484
97 49 1 98.2506 101.033 99.7282
98 49 1 98.9552 101.527 100.525
99 50 1 97.0493 99.2885 98.1969
100 50 1 97.8982 98.6138 97.7802
101 51 1 98.7107 100.085 97.3806
102 51 1 97.912 100.949 97.5293
103 52 1 98.0044 100.831 98.576
104 52 1 97.6275 100.055 99.3844
105 53 1 100.253 98.1748 99.1728
106 53 1 100.152 97.6536 100.261
107 54 1 101.757 102.213 100.423
108 54 1 101.019 101.509 99.9997
109 55 1 101.859 97.0769 102.381
110 55 1 102.455 98.028 102.559
111 56 1 97.4689 99.9251 97.3456
112 56 1 97.0504 100.817 102.538
113 57 1 101.97 98.9972 102.386
114 57 1 102.453 99.449 97.3392
115 58 1 100.98 102.804 98.0746
116 58 1 101.756 97.5811 97.479
117 59 1 99.379 101.664 98.7009
118 59 1 99.2305 102.804 98.2449
119 60 1 99.7347 98.7061 101.005
120 60 1 99.1557 99.1817 100.14
121 61 1 102.178 101.213 101.902
122 61 1 101.434 101.424 101.016
123 62 1 102.614 101.852 100.997
124 62 1 102.251 101.227 100.05
125 63 1 102.79 97.0398 101.827
126 63 1 102.71 97.0664 97.102
127 64 1 101.652 98.6492 97.4278
128 64 1 101.036 99.29 98.1926
129 65 1 98.5349 99.5074 99.3554
130 65 1 99.6098 99.9602 99.5005
131 66 1 99.566 100.764 100.986
132 66 1 99.4178 99.6758 101.318
133 67 1 100.499 101.4 101.594
134 67 1 101.411 100.561 101.734
135 68 1 98.0604 97.6327 100.607
136 68 1 98.8667 97.0616 99.9981
137 69 1 99.605 101.032 99.783
138 69 1 98.8508 100.493 99.0591
139 70 1 102.447 100.494 97.4558
140 70 1 101.308 100.828 97.6149
141 71 1 100.299 99.897 97.8183
142 71 1 99.8691 100.91 97.3782
143 72 1 100.347 101.477 98.1245
144 72 1 101.497 101.849 98.1639
145 73 1 99.3312 98.1618 99.8059
146 73 1 99.3778 98.0402 98.6061
147 74 1 98.7072 98.7433 101.033
148 74 1 98.1297 99.4875 100.348
149 75 1 102.04 100.235 102.492
150 75 1 101.122 99.5159 102.171
151 76 1 100.61 100.736 100.633
152 76 1 100.865 99.6692 99.998
153 77 1 101.546 99.7764 99.2122
154 77 1 100.933 100.39 98.4726
155 78 1 101.656 97.0719 99.7887
156 78 1 102.484 102.924 100.723
157 79 1 101.182 102.174 99.1076
158 79 1 100.639 102.606 100.04
159 80 1 101.027 97.316 101.761
160 80 1 100.059 97.4821 102.433
161 81 2 98.9537 98.893 102.054
162 82 2 97.7488 97.0609 99.6344
163 83 2 102.853 102.198 99.854
164 84 2 98.8805 101.039 102.83
165 85 2 101.406 98.8467 100.446
166 86 2 98.5129 97.8516 98.021
167 87 2 97.2635 99.8013 101.064
168 88 2 100.24 102.467 101.968
169 89 2 99.0807 97.7196 100.847
170 90 2 100.343 101.555 99.2202
171 91 2 101.91 99.9693 98.2061
172 92 2 98.7015 102.491 101
173 93 2 98.5607 102.086 101.973
174 94 2 102.27 100.604 100.946
175 95 2 99.331 99.809 98.332
176 96 2 102.085 98.6405 99.6447
177 97 2 102.629 98.3413 97.7348
178 98 2 101.175 101.071 102.58
179 99 2 98.3867 101.88 98.2017
180 100 2 100.171 97.5863 98.1545
181 101 2 100.893 101.886 97.2933
182 102 2 98.2387 98.5042 99.9747
183 103 2 102.266 101.809 99.0461
184 104 2 99.3571 97.593 97.4477
185 105 2 101.906 102.818 98.6165
186 106 2 99.7202 97.1379 99.3638
187 107 2 100.605 100.539 99.4422
188 108 2 97.5041 97.7776 102.306
189 109 2 98.9343 100.345 100.244
190 110 2 101.42 99.8082 97.2716
191 111 2 98.1266 99.6994 98.3425
192 112 2 102.084 97.7357 101.466
193 113 2 98.1005 101.635 101.088
194 114 2 101.088 98.7941 99.247
195 115 2 99.2954 101.92 97.6299
196 116 2 100.402 99.5278 99.0058
197 117 2 101.716 102.472 97.2975
198 118 2 102.963 100.362 100.145
199 119 2 100.561 98.4772 102.142
200 120 2 100.404 100.175 101.517
ITEM: TIMESTEP
1000
ITEM: NUMBER OF ATOMS
200
ITEM: BOX BOUNDS pp pp pp
9.7003108211197727e+01 1.0299689178880227e+02
9.7032927782732060e+01 1.0296707221726794e+02
9.7032927782732060e+01 1.0296707221726794e+02
ITEM: ATOMS id mol type x y z
1 1 1 97.1575 99.2346 100.055
2 1 1 102.563 99.4884 99.1577
3 2 1 100.175 97.2954 101.221
4 2 1 101.278 97.268 100.759
5 3 1 100.252 98.7897 99.9223
6 3 1 99.4898 98.9314 99.0145
7 4 1 98.2034 99.2964 102.969
8 4 1 98.9995 99.9921 102.297
9 5 1 99.6803 98.468 102.861
10 5 1 100.015 99.3967 102.176
11 6 1 102.362 102.13 102.394
12 6 1 97.3781 102.087 101.735
13 7 1 98.5932 97.3213 102.441
14 7 1 97.9142 97.1104 101.521
15 8 1 102.272 101.093 98.3697
16 8 1 102.516 102.155 97.9597
17 9 1 101.18 102.189 102.17
18 9 1 100.059 101.641 102.496
19 10 1 97.0972 100.363 98.3696
20 10 1 97.1348 101.11 99.3281
21 11 1 102.698 97.3543 99.3821
22 11 1 97.7058 97.9584 98.9589
23 12 1 97.6584 98.7389 100.957
24 12 1 102.813 98.6229 101.833
25 13 1 97.8333 101.336 102.324
26 13 1 97.19 100.893 101.475
27 14 1 99.4629 101.794 101.519
28 14 1 100.119 101.705 100.481
29 15 1 97.1139 102.497 98.7484
30 15 1 97.264 101.481 98.2101
31 16 1 101.49 98.0532 102.45
32 16 1 100.959 102.992 102.891
33 17 1 96.9629 99.7414 102.272
34 17 1 97.2367 98.7846 102.896
35 18 1 102.078 97.871 100.387
36 18 1 97.1963 98.1166 99.991
37 19 1 102.013 101.443 97.1822
