ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
200
ITEM: BOX BOUNDS pp pp pp
9.7029647877182271e+01 1.0297035212281773e+02
9.7029647877182271e+01 1.0297035212281773e+02
9.7029647877182271e+01 1.0297035212281773e+02
ITEM: ATOMS id mol type x y z
1 1 1 100.059 101.775 101.885
2 1 1 99.1781 101.587 102.736
3 2 1 100.753 99.0324 99.7506
4 2 1 99.9139 98.8536 100.636
5 3 1 99.0811 98.235 98.9442
6 3 1 97.9446 98.6626 98.7097
7 4 1 97.4192 97.4777 101.366
8 4 1 102.407 97.7984 101.874
9 5 1 102.07 100.991 101.803
10 5 1 101.721 101.207 100.706
11 6 1 98.2721 101.154 102.442
12 6 1 97.5578 100.975 97.3633
13 7 1 98.7593 98.8412 97.4682
14 7 1 99.3321 99.4386 102.554
15 8 1 99.2062 99.679 100.501
16 8 1 99.6583 100.811 100.298
17 9 1 99.2035 97.9303 100.093
18 9 1 99.1773 98.122 101.275
19 10 1 98.4685 102.098 99.247
20 10 1 98.699 101.207 100.022
21 11 1 97.5523 100.333 102.446
22 11 1 98.4447 99.8136 97.1443
23 12 1 101.031 101.022 98.5712
24 12 1 101.374 101.378 99.6971
25 13 1 101.815 100.407 99.7996
26 13 1 102.077 100.217 100.954
27 14 1 101.13 100.379 101.255
28 14 1 101.077 101.435 101.712
29 15 1 101.404 98.1713 99.4714
30 15 1 100.283 98.0542 99.8918
31 16 1 98.8523 99.1657 101.554
32 16 1 97.6916 99.4818 101.747
33 17 1 99.2433 101.696 100.884
34 17 1 99.215 101.031 101.796
35 18 1 98.2441 98.952 102.468
36 18 1 97.24 98.2416 102.457
37 19 1 99.8884 100.43 98.8775
38 19 1 98.9347 100.254 99.5658
39 20 1 99.7254 97.4673 99.1147
40 20 1 98.5496 97.3343 98.8379
41 21 1 101.759 99.2749 99.5679
42 21 1 102.078 99.2055 100.711
43 22 1 97.7518 100.529 98.3236
44 22 1 98.4019 101.458 98.3949
45 23 1 102.133 101.985 101.436
46 23 1 102.675 101.876 100.381
47 24 1 98.141 101.864 97.3732
48 24 1 99.2202 101.656 97.8478
49 25 1 100.411 97.847 97.7597
50 25 1 100.533 102.829 97.0777
51 26 1 97.482 102.674 100.484
