ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
200
ITEM: BOX BOUNDS pp pp pp
9.7026407132847652e+01 1.0297359286715235e+02
9.7026407132847652e+01 1.0297359286715235e+02
9.7026407132847652e+01 1.0297359286715235e+02
ITEM: ATOMS id mol type x y z
1 1 1 102.503 99.75 101.717
2 1 1 101.596 100.559 101.952
3 2 1 101.531 98.8576 98.0805
4 2 1 100.76 99.6875 97.6288
5 3 1 99.7401 99.8748 98.0201
6 3 1 99.5527 98.7521 97.8909
7 4 1 98.8797 99.882 97.3049
8 4 1 98.1941 100.804 97.6869
9 5 1 99.2639 99.2214 102.194
10 5 1 98.6489 100.232 101.863
11 6 1 100.205 98.1003 101.717
12 6 1 98.9634 98.2273 101.841
13 7 1 98.8096 98.6827 97.1076
14 7 1 98.9977 97.6963 97.7843
15 8 1 97.3135 101.908 101.865
16 8 1 102.775 102.165 100.86
17 9 1 101.105 100.086 101.027
18 9 1 101.288 101.238 101.204
19 10 1 102.66 101.214 100.286
20 10 1 102.261 101.188 99.1862
21 11 1 102.649 101.981 98.5829
22 11 1 102.85 97.1945 98.3597
23 12 1 97.8474 98.8108 100.522
24 12 1 98.4318 99.1454 101.501
25 13 1 97.424 101.49 102.862
26 13 1 98.2414 102.225 102.25
27 14 1 98.6142 101.862 101.319
28 14 1 99.3848 102.632 100.758
29 15 1 97.4044 101.609 99.4744
30 15 1 98.1838 101.037 98.8439
31 16 1 100.417 102.513 102.502
32 16 1 99.5344 102.273 101.737
33 17 1 102.181 98.7945 101.322
34 17 1 102.951 97.9279 101.637
35 18 1 102.799 98.3699 100.595
36 18 1 102.191 98.9995 99.7798
37 19 1 100.593 101.93 101.68
38 19 1 100.266 97.0687 101.324
39 20 1 102.91 99.4496 99.0459
40 20 1 102.326 98.501 98.7598
41 21 1 100.025 97.8286 98.128
42 21 1 99.2003 97.2633 98.7294
43 22 1 98.4488 102.114 99.0952
44 22 1 98.8897 101.409 98.1913
45 23 1 97.4995 102.537 98.9923
46 23 1 97.9574 101.841 98.1417
47 24 1 102.355 98.7474 102.378
48 24 1 101.513 99.4878 101.91
49 25 1 100.664 101.485 100.16
50 25 1 100.539 100.389 99.8139
51 26 1 102.84 97.4068 99.4895
52 26 1 101.903 102.863 100.159
53 27 1 102.479 97.2749 97.2825
54 27 1 102.68 102.243 102.681
55 28 1 97.9846 97.9072 101.178
56 28 1 98.8698 98.5703 100.72
57 29 1 102.249 101.64 97.5294
58 29 1 97.1759 102.406 97.6721
59 30 1 99.8035 101.852 97.6345
60 30 1 99.1734 102.437 102.718
61 31 1 97.2166 100.622 101.065
62 31 1 102.945 99.4941 100.773
63 32 1 99.2507 100.859 97.3509
64 32 1 100.382 100.957 97.2237
65 33 1 99.4712 97.7534 101.025
66 33 1 99.7373 98.9228 101.247
67 34 1 101.527 99.2438 102.931
68 34 1 101.858 98.1488 97.295
69 35 1 97.918 100.508 102.657
70 35 1 98.2479 99.4028 102.496
71 36 1 98.0773 102.787 97.2231
72 36 1 99.0787 102.555 97.8831
73 37 1 99.716 98.2947 102.635
74 37 1 98.7465 97.5748 102.667
75 38 1 99.8549 101.529 102.427
76 38 1 99.5748 100.842 101.491
77 39 1 99.8503 100.974 98.2256
78 39 1 100.306 101.243 99.2353
79 40 1 101.087 97.4558 100.738
80 40 1 101.229 98.2505 101.683
81 41 1 99.6856 97.2983 102.147
82 41 1 100.734 97.7213 102.603
83 42 1 98.4969 102.319 100.284
84 42 1 97.7304 101.578 100.781
85 43 1 100.398 98.2353 100.711
86 43 1 100.877 99.0905 100.188
87 44 1 100.824 99.1109 101.223
88 44 1 101.819 99.4856 100.643
89 45 1 99.8866 99.4203 97.0651
90 45 1 100.804 100.005 102.533
91 46 1 101.503 100.789 100.18
92 46 1 102.105 100.414 101.064
93 47 1 98.3074 97.2034 99.438
94 47 1 99.3221 97.8444 99.6928
95 48 1 97.6689 97.9419 98.7636
96 48 1 97.9889 97.8694 97.6435
97 49 1 97.6303 99.8982 101.763
98 49 1 98.0995 99.8414 100.709
99 50 1 97.1539 99.4662 102.564
100 50 1 102.956 100.638 102.167
101 51 1 97.4112 98.99 98.2551
102 51 1 97.8479 100.06 98.5103
103 52 1 97.1639 100.528 99.1785
104 52 1 102.822 99.9549 98.1287
105 53 1 99.2729 102.725 99.6521
106 53 1 98.6379 97.4306 100.418
107 54 1 99.8791 101.697 100.906
108 54 1 99.3993 100.739 100.334
109 55 1 102.007 97.767 101.155
110 55 1 102.025 97.6254 102.288
111 56 1 102.834 100.588 97.2538
112 56 1 102.08 100.846 98.1368
113 57 1 102.529 99.0377 97.472
114 57 1 97.7512 98.8365 97.2878
115 58 1 102.726 102.817 101.761
116 58 1 97.8035 97.2785 102.173
117 59 1 101.077 102.802 98.5833
118 59 1 101.9 97.6796 98.269
119 60 1 97.2108 98.5369 99.5269
120 60 1 97.5747 99.6097 99.8449
121 61 1 100.562 100.879 102.009
122 61 1 100.336 100.756 100.816
123 62 1 101.883 102.657 101.167
124 62 1 101.768 101.778 100.428
125 63 1 100.913 102.275 97.5478
126 63 1 101.575 101.759 98.4284
127 64 1 102.132 100.128 98.9042
128 64 1 101.416 99.823 99.6914
129 65 1 98.4967 99.2192 98.0535
130 65 1 98.854 100.277 98.3757
131 66 1 100.673 98.1433 99.6956
132 66 1 101.786 97.8209 99.4585
133 67 1 99.1886 99.2307 98.9706
134 67 1 100.345 99.3685 99.3431
135 68 1 97.6447 97.8 100.113
136 68 1 102.768 97.2542 100.699
137 69 1 98.4346 101.339 99.8597
138 69 1 98.5246 100.804 100.914
139 70 1 102.149 100.058 102.669
140 70 1 102.212 101.268 102.525
141 71 1 100.91 100.66 98.064
142 71 1 100.547 101.766 98.3773
143 72 1 100.143 102.742 98.141
144 72 1 101.004 97.4247 97.6505
145 73 1 99.904 98.4455 99.0153
146 73 1 100.178 97.2905 99.0981
147 74 1 98.0691 99.1046 99.0535
148 74 1 98.4481 100.167 99.4401
149 75 1 99.111 99.8486 100.974
150 75 1 98.6777 99.3068 100.01
151 76 1 99.5102 99.9533 99.6594
152 76 1 100.252 100.264 98.8213
153 77 1 101.163 99.7719 98.6428
154 77 1 101.316 98.7872 99.2188
155 78 1 102.017 102.784 99.03
156 78 1 101.017 97.0877 99.6508
157 79 1 101.418 101.981 99.4536
158 79 1 100.29 102.302 99.5663
159 80 1 101.564 102.724 102.8
160 80 1 101.031 101.647 102.647
161 81 2 99.6758 100.348 102.467
162 82 2 97.5057 102.592 100.141
163 83 2 100.854 102.372 100.649
164 84 2 98.5429 101.784 97.25
165 85 2 101.61 98.3864 100.408
166 86 2 98.1187 97.0514 98.312
167 87 2 97.3671 98.8863 101.654
168 88 2 98.6964 97.1391 101.535
169 89 2 98.4218 98.3667 99.6684
170 90 2 99.4763 101.733 99.9174
171 91 2 102.309 101.384 101.429
172 92 2 97.7514 102.709 101.242
173 93 2 99.9287 97.2557 97.2234
174 94 2 100.023 99.6478 100.519
175 95 2 100.605 98.5312 97.3512
176 96 2 102.453 100.164 99.9274
177 97 2 97.0827 98.0336 102.742
178 98 2 100.104 99.8438 101.596
179 99 2 97.2088 101.08 98.1765
180 100 2 102.949 98.1275 97.878
181 101 2 101.727 102.053 101.97
182 102 2 98.7688 98.2273 98.6846
183 103 2 102.584 102.236 99.6983
184 104 2 101.45 100.685 97.1738
